era,period,interval,style,harmony_preparation,harmony_resolution,harmony_consecutive_permissibility,harmony_consecutive_quantity_max,counterpoint_preparation,counterpoint_resolution,counterpoint_consecutive_permissibility,counterpoint_consecutive_quantity_max,evidence,source_keys,source_urls,decade_specific_evidence,original_csv
19th century,1800-1809,P1,19C common-practice pedagogy (not decade-specific in sources),No dissonance preparation. Use as octave-doubling/unison only where part-writing allows.,No required resolution; avoid moving parallel unisons between voices.,No moving consecutive unisons; exact static repetition is not counted as consecutive motion.,1 moving; static repeats: no source max,"No dissonance preparation. In strict 2-part work, normally opening/final only.",No resolution; leave by contrary/oblique motion if used internally in freer counterpoint.,No parallel/consecutive unisons.,1,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1810-1819,P1,19C common-practice pedagogy (not decade-specific in sources),No dissonance preparation. Use as octave-doubling/unison only where part-writing allows.,No required resolution; avoid moving parallel unisons between voices.,No moving consecutive unisons; exact static repetition is not counted as consecutive motion.,1 moving; static repeats: no source max,"No dissonance preparation. In strict 2-part work, normally opening/final only.",No resolution; leave by contrary/oblique motion if used internally in freer counterpoint.,No parallel/consecutive unisons.,1,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1820-1829,P1,19C common-practice pedagogy (not decade-specific in sources),No dissonance preparation. Use as octave-doubling/unison only where part-writing allows.,No required resolution; avoid moving parallel unisons between voices.,No moving consecutive unisons; exact static repetition is not counted as consecutive motion.,1 moving; static repeats: no source max,"No dissonance preparation. In strict 2-part work, normally opening/final only.",No resolution; leave by contrary/oblique motion if used internally in freer counterpoint.,No parallel/consecutive unisons.,1,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1830-1839,P1,19C common-practice pedagogy (not decade-specific in sources),No dissonance preparation. Use as octave-doubling/unison only where part-writing allows.,No required resolution; avoid moving parallel unisons between voices.,No moving consecutive unisons; exact static repetition is not counted as consecutive motion.,1 moving; static repeats: no source max,"No dissonance preparation. In strict 2-part work, normally opening/final only.",No resolution; leave by contrary/oblique motion if used internally in freer counterpoint.,No parallel/consecutive unisons.,1,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1840-1849,P1,19C common-practice pedagogy (not decade-specific in sources),No dissonance preparation. Use as octave-doubling/unison only where part-writing allows.,No required resolution; avoid moving parallel unisons between voices.,No moving consecutive unisons; exact static repetition is not counted as consecutive motion.,1 moving; static repeats: no source max,"No dissonance preparation. In strict 2-part work, normally opening/final only.",No resolution; leave by contrary/oblique motion if used internally in freer counterpoint.,No parallel/consecutive unisons.,1,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1850-1859,P1,19C common-practice pedagogy (not decade-specific in sources),No dissonance preparation. Use as octave-doubling/unison only where part-writing allows.,No required resolution; avoid moving parallel unisons between voices.,No moving consecutive unisons; exact static repetition is not counted as consecutive motion.,1 moving; static repeats: no source max,"No dissonance preparation. In strict 2-part work, normally opening/final only.",No resolution; leave by contrary/oblique motion if used internally in freer counterpoint.,No parallel/consecutive unisons.,1,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1860-1869,P1,19C common-practice pedagogy (not decade-specific in sources),No dissonance preparation. Use as octave-doubling/unison only where part-writing allows.,No required resolution; avoid moving parallel unisons between voices.,No moving consecutive unisons; exact static repetition is not counted as consecutive motion.,1 moving; static repeats: no source max,"No dissonance preparation. In strict 2-part work, normally opening/final only.",No resolution; leave by contrary/oblique motion if used internally in freer counterpoint.,No parallel/consecutive unisons.,1,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1870-1879,P1,19C common-practice pedagogy (not decade-specific in sources),No dissonance preparation. Use as octave-doubling/unison only where part-writing allows.,No required resolution; avoid moving parallel unisons between voices.,No moving consecutive unisons; exact static repetition is not counted as consecutive motion.,1 moving; static repeats: no source max,"No dissonance preparation. In strict 2-part work, normally opening/final only.",No resolution; leave by contrary/oblique motion if used internally in freer counterpoint.,No parallel/consecutive unisons.,1,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1880-1889,P1,19C common-practice pedagogy (not decade-specific in sources),No dissonance preparation. Use as octave-doubling/unison only where part-writing allows.,No required resolution; avoid moving parallel unisons between voices.,No moving consecutive unisons; exact static repetition is not counted as consecutive motion.,1 moving; static repeats: no source max,"No dissonance preparation. In strict 2-part work, normally opening/final only.",No resolution; leave by contrary/oblique motion if used internally in freer counterpoint.,No parallel/consecutive unisons.,1,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1890-1899,P1,19C common-practice pedagogy (not decade-specific in sources),No dissonance preparation. Use as octave-doubling/unison only where part-writing allows.,No required resolution; avoid moving parallel unisons between voices.,No moving consecutive unisons; exact static repetition is not counted as consecutive motion.,1 moving; static repeats: no source max,"No dissonance preparation. In strict 2-part work, normally opening/final only.",No resolution; leave by contrary/oblique motion if used internally in freer counterpoint.,No parallel/consecutive unisons.,1,,,,,19c_interval_harmony_counterpoint_rules.csv
